Catégorie,App Store,Google Play,Trustpilot
Annulation / Réservation,1,21,32
Autre,2,181,4
Bug Technique,3,43,4
Financier,10,46,69
Localisation / Langue,17,54,6
Qualité du bien,6,62,60
Service Client,8,27,28
UX / Ergonomie,3,28,2
