Catégorie_reporting,Effectif,pct_total
Satisfaction (hors irritants),142,20.1133
Financier,116,16.4306
Localisation / Langue,108,15.2975
Annulation / Réservation,97,13.7394
Qualité du bien,82,11.6147
Service Client,59,8.3569
Bug Technique,51,7.2238
UX / Ergonomie,33,4.6742
Autre,18,2.5496
