Catégorie,Effectif,pct_total,pct_cumule
Autre,185,25.8741,25.87
Financier,122,17.0629,42.94
Annulation / Réservation,102,14.2657,57.2
Localisation / Langue,101,14.1259,71.33
Qualité du bien,72,10.0699,81.4
Bug Technique,51,7.1329,88.53
Service Client,49,6.8531,95.38
UX / Ergonomie,33,4.6154,100.0
