Catégorie,volume,note_moyenne,pct_haute,score,mediane_volume,mediane_pct_haute
Financier,125,1.35,91.2,114.0,70.0,83.76499999999999
Qualité du bien,128,1.89,72.66,93.0,70.0,83.76499999999999
Localisation / Langue,77,1.44,81.82,63.0,70.0,83.76499999999999
Service Client,63,1.33,85.71,54.0,70.0,83.76499999999999
Annulation / Réservation,54,1.17,98.15,53.0,70.0,83.76499999999999
Bug Technique,50,1.36,92.0,46.0,70.0,83.76499999999999
UX / Ergonomie,33,1.67,69.7,23.0,70.0,83.76499999999999
Autre,187,4.39,9.09,17.0,70.0,83.76499999999999
