Catégorie,Basse,Haute,Moyenne
Annulation / Réservation,1,101,0
Autre,167,16,2
Bug Technique,5,46,0
Financier,12,110,0
Localisation / Langue,10,85,6
Qualité du bien,27,41,4
Service Client,7,42,0
UX / Ergonomie,6,22,5
